code,district_code,name,type
1101102021,110110,Pante Raja,village
1101112001,110111,Tengah Peulumat,village
1101112002,110111,Paya Peulumat,village
1101112003,110111,Padang Peulumat,village
1101112004,110111,Aur Peulumat,village
1101112005,110111,Limau Saring,village
1101112006,110111,Beutong,village
1101112007,110111,Peuneulop,village
1101112008,110111,Gunung Rotan,village
1101112009,110111,Keumumu Hilir,village
1101112010,110111,Keumumu Hulu,village
1101112011,110111,Keumumu Seberang,village
1101112012,110111,Sawang Indah,village
1101122001,110112,Tutong,village
1101122002,110112,Teungoh Iboh,village
1101122003,110112,Peulokan,village
1101122004,110112,Kuta Iboh,village
1101122005,110112,Ujung Padang,village
1101122006,110112,Blang Baru,village
1101122007,110112,Blang Poroh,village
1101122008,110112,Pulo Ie,village
1101122009,110112,Suak Lokan,village
1101122010,110112,Iku Lhueng,village
1101122011,110112,Kuta Trieng,village
1101122012,110112,Pante Geulima,village
1101122013,110112,Panton Pawoh,village
1101122014,110112,Batee Meucanang,village
1101122015,110112,Panton Rubek,village
1101132001,110113,Koto,village
1101132002,110113,Alur Keujrun,village
1101132003,110113,Jambo Papan,village
1101132004,110113,Malaka,village
1101132005,110113,Koto Indarung,village
1101132006,110113,Siurai-Urai,village
1101132007,110113,Kampung Sawah,village
1101132008,110113,Kampung Padang,village
1101132009,110113,Pulo Air,village
1101132010,110113,Lawe Melang,village
1101132011,110113,Mersak,village
1101132012,110113,Simpang Dua,village
1101132013,110113,Simpang Tiga,village
1101142001,110114,Paya Dapur,village
1101142002,110114,Sapik,village
1101142003,110114,Alai,village
1101142004,110114,Durian Kawan,village
1101142005,110114,Lawe Sawah,village
1101142006,110114,Lawe Buluh Didi,village
1101142007,110114,Pucuk Lembang,village
1101142008,110114,Paya Laba,village
1101142009,110114,Lawe Cimanok,village
1101152001,110115,Pasie Seubadeh,village
1101152002,110115,Ladang Rimba,village
1101152003,110115,Ujong Pulo Rayeuk,village
1101152004,110115,Sawah Tingkeum,village
1101152005,110115,Simpang,village
1101152006,110115,Ujong Pulo Cut,village
1101152008,110115,Seuleukat,village
1101162005,110116,Pinto Rimba,village
1101162006,110116,Krueng Luas,village
1101162007,110116,Jambo Dalem,village
1101162008,110116,Kapa Sesak,village
1101162009,110116,Seuneubok Punto,village
1101162010,110116,Seuneubok Pusaka,village
1101162011,110116,Alur Bujok,village
1101162012,110116,Titi Poben,village
1101172001,110117,Buket Gadeng,village
1101172002,110117,Rambong,village
1101172003,110117,Seuneubok Keuranji,village
1101172004,110117,Seuneubok Alur Buloh,village
1101172005,110117,Ujong Tanoh,village
1101172006,110117,Ujong Gunong Cut,village
1101172007,110117,Ujong Gunung Rayeuk,village
1101172008,110117,Beutong,village
1101172009,110117,Jambo Keupok,village
1101172010,110117,Alurduamas,village
1101182001,110118,Ladang Rimba,village
1101182002,110118,Gunong Kapho,village
1101182003,110118,Kampong Teungoh,village
1101182004,110118,Krueng Batee,village
1101182005,110118,Pulo Paya,village
1101182006,110118,Jambo Papeun,village
1101182007,110118,Cot Bayu,village
1101182008,110118,Naca,village
1101182009,110118,Ie Jeureuneh,village
1101182010,110118,Lhok Raya,village
1102012001,110201,Engkeran,village
1102012002,110201,Rumah Kampung,village
1102012004,110201,Pasir Bangun,village
1102012006,110201,Kubu,village
1102012007,110201,Lawe Kongker,village
1102012008,110201,Kuta Cingkam II,village
1102012009,110201,Muara Baru,village
1102012011,110201,Kuta Batu I,village
1102012012,110201,Kuta Cingkam I,village
1102012013,110201,Kuta Batu II,village
1102012014,110201,Lawe Sempilang,village
1102012015,110201,Prapat Batu Nunggul,village
1102012016,110201,Pulo Sepang,village
1102012017,110201,Rih Mbelang,village
1102012018,110201,Kute Batu Baru,village
1102012019,110201,Darul Amin,village
1102012020,110201,Lawe Lubang Indah,village
1102012021,110201,Batu Hamparan,village
1102012022,110201,Paye Munje,village
1102012023,110201,Pulo Ndadap,village
1102012024,110201,Pasir Nunggul,village
1102012025,110201,Cingkham Mekhanggun,village
1102012026,110201,Pintu Khimbe,village
1102012027,110201,Lawe Kongker Hilir,village
1102012028,110201,Pulo Gadung,village
1102012029,110201,Pasikh Pehkmate,village
1102012030,110201,Pasikh Nunang,village
1102012031,110201,Deleng Kukusen,village
1102022001,110202,Bukit Merdeka,village
1102022002,110202,Darul Aman,village
1102022003,110202,Lawe Kesumpat,village
1102022004,110202,Lawe Tua Gabungan,village
1102022005,110202,Lawe Sigala II,village
1102022006,110202,Lawe Sigala Timur,village
1102022007,110202,Lawe Sigala Barat,village
1102022008,110202,Suka Damai,village
1102022009,110202,Kute Tengah,village
1102022010,110202,Tanah Baru,village
1102022011,110202,Kedataran Gabungan,village
1102022012,110202,Gabungan Parsaroan,village
1102022013,110202,Lawe Loning Gabungan,village
1102022014,110202,Lawe Loning Aman,village
1102022015,110202,Suka Maju,village
1102022016,110202,Lawe Tua Makmur,village
1102022017,110202,Lawe Tua Persatuan,village
1102022018,110202,Lawe Serke,village
1102022019,110202,Lawe Rakat,village
1102022020,110202,Suka Jaya,village
1102022021,110202,Enmiya Batu Dua Ratus,village
1102022022,110202,Sebungke,village
1102022023,110202,Bukit Sepakat,village
1102022024,110202,Lawe Loning Sepakat,village
1102022025,110202,Lawe Loning I,village
1102022026,110202,Gaya Jaya,village
1102022027,110202,Gelah Musara,village
1102022028,110202,Mulie Dame,village
1102022029,110202,Lawe Loning Hakhapen,village
1102022030,110202,Karya Indah,village
1102022031,110202,Kayu Mbelin,village
1102022032,110202,Lawe Sigala Barat Jaya,village
1102022033,110202,Lawe Pekhidinen,village
1102022034,110202,Kertimbang,village
1102022035,110202,Ndauh Nitenggo,village
1102032001,110203,Bambel Gabungan,village
1102032002,110203,Kuta Buluh,village
1102032005,110203,Lawe Hijo,village
1102032006,110203,Pinding,village
1102032009,110203,Terutung Megara Asli,village
1102032011,110203,Biak Muli,village
1102032012,110203,Kute Lang-Lang,village
1102032013,110203,Pedesi,village
1102032014,110203,Terutung Payung Hulu,village
1102032015,110203,Terutung Payung Hilir,village
1102032016,110203,Tualang Sembilar,village
1102032017,110203,Kuning I,village
1102032018,110203,Kuning II,village
1102032019,110203,Cinta Damai,village
1102032020,110203,Likat,village
1102032021,110203,Rikit,village
1102032023,110203,Bambel,village
1102032025,110203,Lawe Kihing,village
1102032026,110203,Terutung Seperai,village
1102032027,110203,Kute Seri,village
1102032028,110203,Kuta Antara,village
1102032029,110203,Pulo Perengge,village
1102032031,110203,Pulo Kendondong,village
1102032033,110203,Pancakh Iman,village
1102032034,110203,Biak Muli Baru,village
1102032035,110203,Biak Muli Pantai Raja,village
1102032036,110203,Biak Muli Sejahtera,village
1102032037,110203,Lembah Haji,village
1102032038,110203,Terutung Payung Gabungan,village
1102032039,110203,Lawe Hijo Metuah,village
1102032040,110203,Ampera,village
1102032041,110203,Tembilakh Mbakhu,village
1102032042,110203,Kute Lang-Lang Bakhu,village
1102042001,110204,Kota Kutacane,village
1102042002,110204,Perapat Hilir,village
1102042003,110204,Perapat Hulu,village
1102042004,110204,Muara Lawe Bulan,village
1102042005,110204,Mbarung,village
1102042006,110204,Batu Mbulan Asli,village
1102042007,110204,Batu Mbulan I,village
1102042008,110204,Batu Mbulan II,village
1102042009,110204,Kampung Raja,village
1102042010,110204,Pulonas,village
1102042011,110204,Kampung Melayu Gabungan,village
1102042012,110204,Terutung Pedi,village
1102042013,110204,Kute Rih,village
1102042014,110204,Gumpang Jaya,village
1102042015,110204,Pulo Latong,village
1102042016,110204,Kutacane Lama,village
1102042017,110204,Batu Mbulan Mbaru,village
1102042018,110204,Pulo Peding,village
1102042019,110204,Mendabe,village
1102042020,110204,Ujung Barat,village
1102042021,110204,Pekhapat Titi Panjang,village
1102042022,110204,Pekhapat Sepakat,village
1102042023,110204,Alas Marancar,village
1102042024,110204,Batu Mbulan Sepakat,village
1102042025,110204,Pulo Sanggakh,village
1102042026,110204,Melayu I,village
1102042027,110204,Mbarung Datuk Saudane,village
1102052005,110205,Salang Alas,village
1102052009,110205,Kuta Pasir,village
1102052011,110205,Purwodadi,village
1102052012,110205,Kuta Tinggi,village
1102052013,110205,Kampung Baru,village
1102052014,110205,Peranginan,village
1102052015,110205,Natam,village
1102052025,110205,Kumbang Jaya,village
1102052026,110205,Kumbang Indah,village
1102052027,110205,Natam Baru,village
1102052029,110205,Deleng Megakhe,village
1102052030,110205,Lawe Bekung,village
1102052031,110205,Lawe Bekung Tampahan,village
1102052032,110205,Badar Indah,village
1102052033,110205,Batu Mbekhong,village
1102052034,110205,Tanah Merah,village
1102052035,110205,Tanoh Megakhe,village
1102052036,110205,Lawe Sekerah,village
1102062001,110206,Pardomuan II,village
1102062002,110206,Lawe Desky I,village
1102062003,110206,Lawe Desky Sabas,village
1102062004,110206,Pardomuan I,village
1102062005,110206,Cinta Damai,village
1102062006,110206,Lawe Perbunga,village
1102062007,110206,Lawe Desky Tongah,village
1102062008,110206,Kute Bakti,village
1102062010,110206,Muara Situlen,village
1102062011,110206,Sejahtera,village
1102062012,110206,Kute Makmur,village
1102062013,110206,Pardamean,village
1102062014,110206,Lawe Mantik,village
1102062015,110206,Cinta Makmur,village
1102062016,110206,Muara Setia,village
1102062017,110206,Tanoh Alas,village
1102062018,110206,Sejahtera Baru,village
1102062024,110206,Lawe Tawakh,village
1102062025,110206,Sabilussalam,village
1102062026,110206,Lawe Desky Jaya,village
1102062027,110206,Pintu Alas,village
1102072001,110207,Gulo,village
1102072002,110207,Pulo Piku,village
1102072003,110207,Terutung Kute,village
1102072004,110207,Kute Ujung,village
1102072005,110207,Lawe Stul,village
1102072006,110207,Kite Merangun,village
1102072007,110207,Mamas,village
1102072008,110207,Tanjung Lama,village
1102072009,110207,Tanjung Muda,village
1102072010,110207,Rambung Teldak,village
1102072011,110207,Tanjung Aman,village
1102072012,110207,Sri Muda,village
1102072013,110207,Ujung Baru,village
1102072014,110207,Kute Rambe,village
1102072015,110207,Mamas Baru,village
1102072016,110207,Rambung Jaya,village
1102072017,110207,Makmur Jaya,village
1102072018,110207,Darul Makmur,village
1102072019,110207,Tanjung Bakhu,village
1102072020,110207,Pulo Gabung,village
1102072021,110207,Kokhtan Jaya,village
1102072022,110207,Istiqamah,village
1102072023,110207,Lawe Mamas Indah,village
1102072024,110207,Tanjung Leuser,village
1102072025,110207,Simpang IV Tanjung,village
1102072026,110207,Lawe Pinis,village
1102072027,110207,Buntul Kendawi,village
1102072028,110207,Kuning Abadi,village
1102082001,110208,Pasir Gala,village
1102082002,110208,Pasir Penjengakan,village
1102082003,110208,Kutambaru,village
1102082004,110208,Lawe Sagu Hulu,village
1102082005,110208,Lawe Sagu Hilir,village
1102082006,110208,Kute Bantil,village
1102082011,110208,Lawe Kolok,village
1102082012,110208,Lawe Rutung,village
1102082013,110208,Kampung Nangka,village
1102082014,110208,Tenembak Juhar,village
1102082015,110208,Simpang Empat,village
1102082016,110208,Kuta Buluh Botong,village
1102082017,110208,Katambaru Becawan,village
1102082018,110208,Lawe Kinge,village
1102082019,110208,Kandang Mbelang Mandiri,village
1102082020,110208,Mbacang Racun,village
1102082021,110208,Telaga Mekar,village
1102082023,110208,Pulonas Baru,village
1102082025,110208,Kuta Genting,village
1102082026,110208,Pangguh,village
1102082027,110208,Lawe Sagu,village
1102082028,110208,Pekhapet Timur,village
1102082029,110208,Bahagia,village
1102082030,110208,Kute Galuh Asli,village
1102092001,110209,Kute Lengat Pangan,village
1102092002,110209,Kute Lengat Selian,village
1102092003,110209,Tualang Baru,village
1102092004,110209,Alur Buluh,village
1102092005,110209,Maha Singkil,village
1102092006,110209,Tenembak Bintang,village
1102092007,110209,Kute Lingga,village
1102092008,110209,Rikit Bur,village
1102092010,110209,Kerukunan,village
1102092011,110209,Lawe Dua,village
